卫视频道,#genre#
青海卫视,http://satellitepull.cnr.cn/live/wx32qhws/playlist.m3u8
西藏卫视,http://satellitepull.cnr.cn/live/wxxzws/playlist.m3u8
新疆卫视,http://satellitepull.cnr.cn/live/wxxjws/playlist.m3u8
山西卫视,http://satellitepull.cnr.cn/live/wxssxws/playlist.m3u8
重庆卫视,http://satellitepull.cnr.cn/live/wxcqws/playlist.m3u8
河南卫视,http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8
云南卫视,http://satellitepull.cnr.cn/live/wxynws/playlist.m3u8
浙江卫视,http://satellitepull.cnr.cn/live/wxzjws/playlist.m3u8
湖南卫视,http://satellitepull.cnr.cn/live/wx32hunws/playlist.m3u8
江西卫视,http://satellitepull.cnr.cn/live/wx32jiangxws/playlist.m3u8
海南卫视,http://satellitepull.cnr.cn/live/wxhainlyws/playlist.m3u8
山东卫视,http://satellitepull.cnr.cn/live/wxsdws/playlist.m3u8
广东卫视,https://m3u-converter.mikephiemy.workers.dev/
贵州卫视,https://m3u-converter.mikephiemy.workers.dev/
东南卫视,https://m3u-converter.mikephiemy.workers.dev/
浙江卫视,https://m3u-converter.mikephiemy.workers.dev/
青海卫视,https://piccpndali.v.myalicdn.com/audio/qinghai_2.m3u8
内蒙古卫视,https://m3u-converter.mikephiemy.workers.dev/
天津卫视,https://m3u-converter.mikephiemy.workers.dev/
西藏卫视,https://m3u-converter.mikephiemy.workers.dev/
湖南卫视,https://m3u-converter.mikephiemy.workers.dev/
广西卫视,https://m3u-converter.mikephiemy.workers.dev/
江苏卫视,http://satellitepull.cnr.cn/live/wx32jsws/playlist.m3u8
四川卫视,https://m3u-converter.mikephiemy.workers.dev/
重庆卫视,https://m3u-converter.mikephiemy.workers.dev/
河南卫视,http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8
山东卫视,https://m3u-converter.mikephiemy.workers.dev/
湖北卫视,https://m3u-converter.mikephiemy.workers.dev/
甘肃卫视,https://m3u-converter.mikephiemy.workers.dev/
香港卫视,https://m3u-converter.mikephiemy.workers.dev/
大湾区卫视,https://m3u-converter.mikephiemy.workers.dev/
吉林卫视,http://satellitepull.cnr.cn/live/wxjlws/playlist.m3u8
深圳卫视,https://m3u-converter.mikephiemy.workers.dev/
北京卫视,https://m3u-converter.mikephiemy.workers.dev/
辽宁卫视,https://m3u-converter.mikephiemy.workers.dev/
安徽卫视,https://m3u-converter.mikephiemy.workers.dev/
海南卫视,https://m3u-converter.mikephiemy.workers.dev/
安徽卫视,http://203.205.191.53/live.ahsx.ahtv.cn/live/ahwssx.m3u8
深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
香港卫视,https://piccpndali.v.myalicdn.com/audio/xianggangweishi_2.m3u8
江西卫视,https://m3u-converter.mikephiemy.workers.dev/
重庆卫视,http://iptv.tvfix.org/hls/cqhd.m3u8
广东卫视,http://iptv.tvfix.org/hls/gdhd.m3u8
四川卫视,http://iptv.tvfix.org/hls/schd.m3u8
江苏卫视,https://m3u-converter.mikephiemy.workers.dev/
吉林卫视,https://m3u-converter.mikephiemy.workers.dev/
贵州卫视,https://piccpndali.v.myalicdn.com/audio/guizhou_2.m3u8
河南卫视,https://m3u-converter.mikephiemy.workers.dev/
福建东南卫视,http://iptv.tvfix.org/hls/dnhd.m3u8
辽宁卫视,http://iptv.tvfix.org/hls/lnhd.m3u8
山东卫视,http://iptv.tvfix.org/hls/sdhd.m3u8
深圳卫视,http://iptv.tvfix.org/hls/szhd.m3u8
河南卫视,http://iptv.tvfix.org/hls/hnhd.m3u8
江苏卫视,http://iptv.tvfix.org/hls/jshd.m3u8
海南卫视,http://iptv.tvfix.org/hls/lyhd.m3u8
深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
天津卫视,http://iptv.tvfix.org/hls/tjhd.m3u8
新疆卫视,https://migu.188766.xyz/
凤凰卫视,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
东方卫视,http://iptv.tvfix.org/hls/dfhd.m3u8
广西卫视,http://iptv.tvfix.org/hls/gxhd.m3u8
浙江卫视,http://iptv.tvfix.org/hls/zjhd.m3u8
江苏卫视,https://migu.188766.xyz/
吉林卫视,https://migu.188766.xyz/
山西卫视,https://migu.188766.xyz/
东方卫视,https://migu.188766.xyz/
北京卫视,https://migu.188766.xyz/
湖南卫视,https://k44991.kylintv.tv/live/huntvhd_iphone.m3u8
大湾区卫视,https://migu.188766.xyz/
山东卫视,https://migu.188766.xyz/
凤凰卫视,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
安徽卫视,https://migu.188766.xyz/
黑龙江卫视,https://migu.188766.xyz/
湖南卫视,http://iptv.tvfix.org/hls/hunanhd.m3u8
重庆卫视,https://migu.188766.xyz/
陕西卫视,https://migu.188766.xyz/
辽宁卫视,https://migu.188766.xyz/
湖北卫视,https://migu.188766.xyz/
广东卫视,https://migu.188766.xyz/
四川卫视,https://migu.188766.xyz/
贵州卫视,https://migu.188766.xyz/
深圳卫视,https://migu.188766.xyz/
内蒙古卫视,https://migu.188766.xyz/
河南卫视,https://migu.188766.xyz/
天津卫视,https://migu.188766.xyz/
宁夏卫视,https://migu.188766.xyz/
甘肃卫视,https://migu.188766.xyz/
云南卫视,https://migu.188766.xyz/
北京卫视,http://iptv.tvfix.org/hls/brtv1hd.m3u8
黑龙江卫视,https://www.yangshipin.cn/tv/home
江西卫视,https://migu.188766.xyz/
广西卫视,https://migu.188766.xyz/
贵州卫视,https://www.yangshipin.cn/tv/home
黑龙江卫视,https://s1.abntelevision.com/avivamientoabr/stream/avivamientohd/avivamientohd/chunks.m3u8
湖南卫视,https://migu.188766.xyz/
海南卫视,https://migu.188766.xyz/
东南卫视,https://migu.188766.xyz/
青海卫视,https://migu.188766.xyz/
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
大湾区卫视,https://migu.777189.xyz/
香港卫视,https://migu.188766.xyz/
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
北京卫视,https://live-hls-web-ajb.getaj.net/AJB/01.m3u8
北京卫视,https://www.yangshipin.cn/tv/home
浙江卫视,https://www.yangshipin.cn/tv/home
浙江卫视,https://s1.abntelevision.com/avivamientoabr/stream/avivamientohd/avivamientohd/chunks.m3u8
宁夏卫视,http://satellitepull.cnr.cn/live/wxnxws/playlist.m3u8
四川卫视,http://satellitepull.cnr.cn/live/wxscws/playlist.m3u8
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8
天津卫视,http://satellitepull.cnr.cn/live/wxtjws/playlist.m3u8
陕西卫视,http://satellitepull.cnr.cn/live/wxsxxws/playlist.m3u8
辽宁卫视,http://tv.netlive.ggff.net/lnws
广西卫视,https://www.yangshipin.cn/tv/home
江苏卫视,http://tv.netlive.ggff.net/jsws
江西卫视,https://www.yangshipin.cn/tv/home
内蒙古卫视,http://tv.netlive.ggff.net/nmgws
宁夏卫视,http://tv.netlive.ggff.net/nxws
新疆卫视,http://tv.netlive.ggff.net/xjws
四川卫视,http://tv.netlive.ggff.net/scws
山东卫视,http://tv.netlive.ggff.net/sdws
河北卫视,http://tv.netlive.ggff.net/hbws
山西卫视,http://tv.netlive.ggff.net/sxiws
西藏卫视,http://tv.netlive.ggff.net/xzws
河南卫视,http://tv.netlive.ggff.net/hinws
广西卫视,http://tv.netlive.ggff.net/gxws
甘肃卫视,http://satellitepull.cnr.cn/live/wxgsws/playlist.m3u8
安徽卫视,https://www.yangshipin.cn/tv/home
北京卫视,http://tv.netlive.ggff.net/bjws
浙江卫视,http://satellitepull.cnr.cn/live/wxzjws/playlist.m3u8
东方卫视,http://satellitepull.cnr.cn/live/wx32dfws/playlist.m3u8
河北卫视,http://satellitepull.cnr.cn/live/wxhebws/playlist.m3u8
内蒙古卫视,http://satellitepull.cnr.cn/live/wx32nmgws/playlist.m3u8
吉林卫视,http://satellitepull.cnr.cn/live/wxjlws/playlist.m3u8
广西卫视,https://hlscdn.liangtv.cn/live/0c4ef3a44b934cacb8b47121dfada66c/d7e04258157b480dae53883cc6f8123b.m3u8
辽宁卫视,http://satellitepull.cnr.cn/live/wxlnws/playlist.m3u8
深圳卫视,http://satellitepull.cnr.cn/live/wxszws/playlist.m3u8
深圳卫视,http://satellitepull.cnr.cn/live/wxszws/playlist.m3u8
江苏卫视,http://satellitepull.cnr.cn/live/wx32jsws/playlist.m3u8
黑龙江卫视,http://satellitepull.cnr.cn/live/wx32hljws/playlist.m3u8
四川卫视,https://www.yangshipin.cn/tv/home
湖北卫视,http://satellitepull.cnr.cn/live/wx32hubws/playlist.m3u8
延边卫视,http://satellitepull.cnr.cn/live/wxybws/playlist.m3u8
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8
湖南卫视,http://satellitepull.cnr.cn/live/wx32hunws/playlist.m3u8
贵州卫视,http://satellitepull.cnr.cn/live/wx32gzws/playlist.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
广西卫视,https://hlscdn.liangtv.cn/live/0c4ef3a44b934cacb8b47121dfada66c/d7e04258157b480dae53883cc6f8123b.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/playlist.m3u8
河南卫视,https://www.yangshipin.cn/tv/home
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklistw1266569526.m3u
山西卫视,https://mursor.ottiptv.cc/bst/shanxiws@1300000.m3u8
江西卫视,http://112.27.235.94:8000/hls/44/index.m3u8
深圳卫视,http://112.27.235.94:8000/hls/33/index.m3u8
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8
湖北卫视,http://112.27.235.94:8000/hls/41/index.m3u8
陕西卫视,http://112.27.235.94:8000/hls/43/index.m3u8
云南卫视,http://112.27.235.94:8000/hls/40/index.m3u8
浙江卫视,http://112.27.235.94:8000/hls/29/index.m3u8
河北卫视,http://112.27.235.94:8000/hls/39/index.m3u8
黑龙江卫视,http://112.27.235.94:8000/hls/48/index.m3u8
江苏卫视,http://112.27.235.94:8000/hls/32/index.m3u8
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8
东方卫视,http://112.27.235.94:8000/hls/28/index.m3u8
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8
辽宁卫视,http://112.27.235.94:8000/hls/47/index.m3u8
山西卫视,http://112.27.235.94:8000/hls/45/index.m3u8
广东卫视,http://112.27.235.94:8000/hls/30/index.m3u8
北京卫视,http://112.27.235.94:8000/hls/27/index.m3u8
贵州卫视,http://112.27.235.94:8000/hls/46/index.m3u8
贵州卫视,http://111.14.181.15:9901/tsfile/live/0120_1.m3u8
兵团卫视,https://mursor.ottiptv.cc/bst/btws@1300000.m3u8
新疆卫视,https://mursor.ottiptv.cc/mcp/xinjiang.m3u8
吉林卫视,https://mursor.ottiptv.cc/bst/jlwshd4m@4000000.m3u8
广东卫视,https://mursor.ottiptv.cc/migu/608831231.m3u8
河南卫视,https://mursor.ottiptv.cc/bst/henwshd4m@4000000.m3u8
深圳卫视,http://tv.netlive.ggff.net/szws
东南卫视,https://mursor.ottiptv.cc/bst/dnwshd@4000000.m3u8
海南卫视,http://satellitepull.cnr.cn/live/wxhainlyws/playlist.m3u8
安徽卫视,http://tv.netlive.ggff.net/ahws
江苏卫视,https://mursor.ottiptv.cc/bst/jswshd@4000000.m3u8
北京卫视,https://mursor.ottiptv.cc/bst/bjwshd@4000000.m3u8
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8
江西卫视,http://tv.netlive.ggff.net/jxws
重庆卫视,https://mursor.ottiptv.cc/bst/cqwshd4m@4000000.m3u8
贵州卫视,http://tv.netlive.ggff.net/gzws
莲花卫视,http://8.138.7.223/tv/lotustv.m3u8
吉林卫视,http://tv.netlive.ggff.net/jlws
云南卫视,http://tv.netlive.ggff.net/ynws
江苏卫视,http://vss.cbnmtv.com/live/yt_jiangsuweishi_h_1.m3u8
天津卫视,http://tv.netlive.ggff.net/tjws
湖南卫视,http://tv.netlive.ggff.net/hunws
吉林卫视,https://mursor.ottiptv.cc/migu/947472500.m3u8
湖北卫视,https://mursor.ottiptv.cc/migu/947472496.m3u8
江西卫视,https://www.freetv.top/migu/783847495.m3u8
四川卫视,http://vss.cbnmtv.com/live/yt_sichuan_h_1.m3u8
山西卫视,http://222.186.39.21:35466/nptv/shanxi.m3u8
陕西卫视,http://tv.netlive.ggff.net/sxws
河南卫视,http://112.27.235.94:8000/hls/37/index.m3u8
陕西卫视,http://222.186.39.21:35466/nptv/shanxiws.m3u8
广东卫视,http://222.186.39.21:35466/nptv/guangdong.m3u8
吉林卫视,http://222.186.39.21:35466/nptv/jiling.m3u8
山东卫视,http://vss.cbnmtv.com/live/yt_shandongweishi_h_1.m3u8
四川卫视,https://mursor.ottiptv.cc/mcp/sichuan.m3u8
西藏卫视,https://mursor.ottiptv.cc/bst/xzws@2500000.m3u8
江苏卫视,http://218.3.138.25:1111/tsfile/live/1017_1.m3u8
湖北卫视,http://222.186.39.21:35466/nptv/hubei.m3u8
甘肃卫视,http://tv.netlive.ggff.net/gsws
青海卫视,https://mursor.ottiptv.cc/migu/947472506.m3u8
浙江卫视,http://tv.netlive.ggff.net/zjws
重庆卫视,http://tv.netlive.ggff.net/cqws
东南卫视,http://222.186.39.21:35466/nptv/dongnan.m3u8
东南卫视,http://58.19.43.46:9901/tsfile/live/1046_1.m3u8
东方卫视,http://222.186.39.21:35466/nptv/dongfang.m3u8
河北卫视,http://222.186.39.21:35466/nptv/hebei.m3u8
青海卫视,http://tv.netlive.ggff.net/qhws
青海卫视,https://mursor.ottiptv.cc/mcp/qinghai.m3u8
东南卫视,http://vss.cbnmtv.com/live/yt_dongnan_h_1.m3u8
天津卫视,https://mursor.ottiptv.cc/bst/tjwshd@4000000.m3u8
广东卫视,http://tv.netlive.ggff.net/gdws
青海卫视,http://222.186.39.21:35466/mgtv/947472506.m3u8
海南卫视,https://mursor.ottiptv.cc/migu/947472502.m3u8
大湾区卫视,https://mursor.ottiptv.cc/migu/608917627.m3u8
吉林卫视,http://58.19.43.46:9901/tsfile/live/1007_1.m3u8
内蒙古卫视,http://8.138.7.223/tv/nmgws.m3u8
河南卫视,http://58.19.43.46:9901/tsfile/live/1006_1.m3u8
黑龙江卫视,http://218.13.170.98:9901/tsfile/live/1006_1.m3u8
湖北卫视,http://222.186.39.21:35466/mgtv/947472496.m3u8
安徽卫视,http://113.57.93.165:9900/tsfile/live/0130_1.m3u8
青海卫视,http://222.186.39.21:35466/nptv/qinghai.m3u8
浙江卫视,http://58.19.43.46:9901/tsfile/live/1037_1.m3u8
北京卫视,http://183.11.239.36:808/hls/41/index.m3u8
贵州卫视,http://58.19.43.46:9901/tsfile/live/1011_1.m3u8
东方卫视,http://222.186.39.21:35466/mgtv/651632648.m3u8
东南卫视,http://tv.netlive.ggff.net/dnws
兵团卫视,http://8.138.7.223/tv/btws.m3u8
贵州卫视,https://mursor.ottiptv.cc/bst/gzwshd4m@4000000.m3u8
莲花卫视,http://8.138.7.223/tv/lotustv.m3u8
山东卫视,http://183.11.239.36:808/hls/43/index.m3u8
湖南卫视,http://120.76.248.139/live/bfgd/4200000086.m3u8
黑龙江卫视,http://58.19.43.46:9901/tsfile/live/1008_1.m3u8
新疆卫视,http://183.11.239.36:808/hls/65/index.m3u8
新疆卫视,http://222.186.39.21:35466/nptv/xinjiang.m3u8
云南卫视,http://120.76.248.139/live/otvgd/61.m3u8
安徽卫视,http://58.19.43.46:9901/tsfile/live/1040_1.m3u8
内蒙古卫视,http://8.138.7.223/tv/nmgws.m3u8
上海卫视,http://113.57.93.165:9900/tsfile/live/0107_1.m3u8
陕西卫视,http://58.19.43.46:9901/tsfile/live/1013_1.m3u8
辽宁卫视,http://58.19.43.46:9901/tsfile/live/1041_1.m3u8
湖北卫视,http://58.19.43.46:9901/tsfile/live/1044_1.m3u8
黑龙江卫视,http://tv.netlive.ggff.net/hljws
贵州卫视,http://120.76.248.139/live/bfgd/4200000101.m3u8
广西卫视,http://58.19.43.46:9901/tsfile/live/1004_1.m3u8
海南卫视,http://tv.netlive.ggff.net/hinws
西藏卫视,http://120.76.248.139/live/otvgd/66.m3u8
东方卫视,http://58.19.43.46:9901/tsfile/live/1035_1.m3u8
兵团卫视,http://120.76.248.139/live/bfgd/4200000124.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000185.m3u8
海南卫视,http://183.11.239.36:808/hls/124/index.m3u8
东南卫视,http://120.76.248.139/live/bfgd/4200000483.m3u8
浙江卫视,http://8.138.7.223/tv/zjws.m3u8
深圳卫视,http://218.13.170.98:9901/tsfile/live/1005_1.m3u8
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
江苏卫视,http://183.131.246.250:9901/tsfile/live/0127_1.m3u8
新疆卫视,http://120.76.248.139/live/bfgd/4200000150.m3u8
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8
山东教育卫视,http://120.76.248.139/live/bfgd/4200000112.m3u8
江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8
北京卫视,http://120.76.248.139/live/otvgd/24.m3u8
江苏卫视,http://120.76.248.139/live/otvgd/18.m3u8
甘肃卫视,http://183.11.239.36:808/hls/119/index.m3u8
云南卫视,http://183.11.239.36:808/hls/52/index.m3u8
东南卫视,http://113.57.93.165:9900/tsfile/live/0137_1.m3u8
江苏卫视,http://183.11.239.36:808/hls/38/index.m3u8
广西卫视,http://120.76.248.139/live/bfgd/4200000116.m3u8
北京卫视,http://183.11.239.36:808/hls/41/index.m3u8
安徽卫视,http://183.11.239.36:808/hls/40/index.m3u8
河北卫视,http://183.11.239.36:808/hls/54/index.m3u8
山西卫视,http://120.76.248.139/live/bfgd/4200000109.m3u8
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8
陕西卫视,http://183.11.239.36:808/hls/58/index.m3u8
吉林卫视,http://218.13.170.98:9901/tsfile/live/1018_1.m3u8
贵州卫视,http://120.76.248.139/live/bfgd/4200000101.m3u8
湖南卫视,http://218.3.138.25:1111/tsfile/live/1018_1.m3u8
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8
江西卫视,http://218.13.170.98:9901/tsfile/live/1017_1.m3u8
重庆卫视,http://120.76.248.139/live/bfgd/4200000107.m3u8
云南卫视,http://120.76.248.139/live/bfgd/4200000482.m3u8
广西卫视,http://120.76.248.139/live/bfgd/4200000116.m3u8
广东卫视,http://222.186.39.21:35466/mgtv/608831231.m3u8
四川卫视,http://113.57.93.165:9900/tsfile/live/0123_1.m3u8
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
安徽卫视,http://120.76.248.139/live/otvgd/23.m3u8
江苏卫视,http://183.11.239.36:808/hls/38/index.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
贵州卫视,http://183.11.239.36:808/hls/49/index.m3u8
福建东南卫视,http://218.13.170.98:9901/tsfile/live/1015_1.m3u8
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
湖南卫视,http://120.76.248.139/live/bfgd/4200000086.m3u8
广东卫视,http://120.76.248.139/live/bfgd/4200000092.m3u8
东南卫视,http://58.19.43.46:9901/tsfile/live/1046_1.m3u8
新疆卫视,http://120.76.248.139/live/otvgd/64.m3u8
四川卫视,http://120.76.248.139/live/bfgd/4200000103.m3u8
辽宁卫视,http://120.76.248.139/live/otvgd/32.m3u8
新疆卫视,http://120.76.248.139/live/bfgd/4200000150.m3u8
北京卫视,http://218.13.170.98:9901/tsfile/live/1004_1.m3u8
广西卫视,http://183.11.239.36:808/hls/56/index.m3u8
江西卫视,http://120.76.248.139/live/bfgd/4200000098.m3u8
浙江卫视,http://120.76.248.139/live/otvgd/19.m3u8
东南卫视,http://120.76.248.139/live/bfgd/4200000483.m3u8
